time,ideal_imbalance,wrong_sector_imbalance,absolute_difference,ideal_min_gauss,wrong_sector_min_gauss,ideal_wilson,wrong_sector_wilson,ideal_norm_error,wrong_sector_norm_error
0.0,1.0000000000000002,1.0000000000000009,6.661338147750939e-16,1.0000000000000002,1.0000000000000009,1.0000000000000002,-1.0000000000000007,2.220446049250313e-16,8.881784197001252e-16
0.125,0.9691144986276954,0.9689528369998058,0.0001616616278895533,1.0,1.0000000000000009,1.0,-1.0000000000000009,0.0,8.881784197001252e-16
0.25,0.8807506083883652,0.8782161473372057,0.002534461051159509,1.0000000000000002,1.0000000000000009,1.0000000000000002,-1.0000000000000009,2.220446049250313e-16,8.881784197001252e-16
0.375,0.7471895630216296,0.7347884079790002,0.012401155042629397,1.0000000000000002,1.0000000000000009,1.0000000000000002,-1.000000000000001,2.220446049250313e-16,8.881784197001252e-16
0.5,0.5869943118523125,0.5496348754719056,0.03735943638040695,1.0000000000000002,1.0000000000000009,1.0000000000000002,-1.0000000000000009,2.220446049250313e-16,8.881784197001252e-16
0.625,0.42242955280463373,0.33671022635924186,0.08571932644539187,0.9999999999999998,1.0000000000000007,0.9999999999999998,-1.0000000000000007,2.220446049250313e-16,6.661338147750939e-16
0.75,0.2763672787898939,0.11172487232667108,0.16464240646322284,1.0,1.0000000000000007,1.0,-1.0000000000000007,0.0,6.661338147750939e-16
0.875,0.16910791934845149,-0.10922666392541724,0.27833458327386873,1.0,1.0000000000000009,1.0,-1.0000000000000007,0.0,8.881784197001252e-16
1.0,0.11555889039980191,-0.3110444438362346,0.42660333423603647,1.0,1.0000000000000009,1.0,-1.0000000000000007,0.0,8.881784197001252e-16
1.125,0.12316269067580154,-0.4808785065235478,0.6040411971993493,1.0,1.0000000000000009,1.0,-1.0000000000000009,0.0,8.881784197001252e-16
1.25,0.19086250784908393,-0.6091439650222487,0.8000064728713325,0.9999999999999999,1.0000000000000007,0.9999999999999999,-1.0000000000000007,1.1102230246251565e-16,6.661338147750939e-16
1.375,0.3092490993367036,-0.6902036760377349,0.9994527753744384,0.9999999999999999,1.0000000000000007,0.9999999999999999,-1.0000000000000007,1.1102230246251565e-16,6.661338147750939e-16
1.5,0.46186853358631985,-0.7226601656504058,1.1845286992367257,1.0,1.0000000000000007,1.0,-1.0000000000000007,0.0,6.661338147750939e-16
1.625,0.6275090357411273,-0.7092378123930043,1.3367468481341316,1.0000000000000002,1.0000000000000007,1.0000000000000002,-1.0000000000000007,2.220446049250313e-16,6.661338147750939e-16
1.75,0.7831491009963736,-0.6562771338628092,1.4394262348591829,1.0000000000000002,1.0000000000000007,1.0000000000000002,-1.0000000000000007,2.220446049250313e-16,6.661338147750939e-16
1.875,0.9071571328314395,-0.572901272221191,1.4800584050526306,1.0000000000000002,1.0000000000000009,1.0000000000000002,-1.0000000000000009,2.220446049250313e-16,8.881784197001252e-16
2.0,0.9822979051779405,-0.4699465843474112,1.4522444895253517,1.0,1.0000000000000009,1.0,-1.0000000000000009,0.0,8.881784197001252e-16
