time,dt,trotter_steps,case,wilson_sector,exact_O_LR,trotter_O_LR,hardware_O_LR,hardware_O_LR_se,exact_sector_separation,trotter_sector_separation,hardware_sector_separation,hardware_sector_separation_se,hardware_sector_separation_z,shots,depth,r_count,cz_count,move_count,calibration_set_id,job_id
0.6,0.3,2,Wplus,1,0.45457684680307253,0.4377339233729705,0.2823,0.007927883828614039,0.07379967779811547,0.054370587312268626,-0.010699999999999987,0.011322611977807947,0.9450116299111667,5000,113,131,76,0,4ce7ac76-bb1c-4106-9b6f-e6999749446a,019fffb3-5e4e-7913-b11a-c479eeaf4b2c
0.6,0.3,2,Wminus,-1,0.38077716900495706,0.3833633360607019,0.293,0.00808394705573954,0.07379967779811547,0.054370587312268626,-0.010699999999999987,0.011322611977807947,0.9450116299111667,5000,113,131,76,0,4ce7ac76-bb1c-4106-9b6f-e6999749446a,019fffb3-5e4e-7913-b11a-c479eeaf4b2c
0.8,0.4,2,Wplus,1,0.22782501531500213,0.18940493911752748,0.1645,0.008131294484889844,0.20584704791312755,0.1488688504949081,0.06240000000000001,0.01153963032336825,5.407452253789908,5000,114,133,76,0,4ce7ac76-bb1c-4106-9b6f-e6999749446a,019fffb3-5e4e-7913-b11a-c479eeaf4b2c
0.8,0.4,2,Wminus,-1,0.021977967401874576,0.04053608862261937,0.1021,0.008188108328545734,0.20584704791312755,0.1488688504949081,0.06240000000000001,0.01153963032336825,5.407452253789908,5000,114,133,76,0,4ce7ac76-bb1c-4106-9b6f-e6999749446a,019fffb3-5e4e-7913-b11a-c479eeaf4b2c
1.0,0.5,2,Wplus,1,0.11555889039980191,0.04689700730202473,0.0296,0.0079539152623095,0.42660333423603647,0.29815505395556813,0.1156,0.011396734971034467,10.143255967064674,5000,112,130,76,0,4ce7ac76-bb1c-4106-9b6f-e6999749446a,019fffb3-5e4e-7913-b11a-c479eeaf4b2c
1.0,0.5,2,Wminus,-1,-0.3110444438362346,-0.2512580466535434,-0.086,0.008162156577767912,0.42660333423603647,0.29815505395556813,0.1156,0.011396734971034467,10.143255967064674,5000,112,130,76,0,4ce7ac76-bb1c-4106-9b6f-e6999749446a,019fffb3-5e4e-7913-b11a-c479eeaf4b2c
