dataset,case,wilson_sector,method,shots,imbalance,imbalance_se,ideal_trotter_imbalance,ideal_exact_imbalance,negative_probability_mass,condition_number,max_readout_error,mean_readout_error,physical_qubits_by_classical_bit
periodic_matter_readout,Wplus,1,raw,5000,0.1201,0.00844068705734314,0.18940493911752748,0.22782501531500213,,,,,
periodic_matter_readout,Wplus,1,readout_mitigated_manifest_symmetric,5000,0.12216450948449396,0.008485185955911224,0.18940493911752748,0.22782501531500213,0.0,1.071674224296413,0.010950000000000015,0.008575,11 10 4 5
periodic_matter_readout,Wminus,-1,raw,5000,0.0731,0.008494779455642153,0.04053608862261937,0.021977967401874576,,,,,
periodic_matter_readout,Wminus,-1,readout_mitigated_manifest_symmetric,5000,0.07427107397222302,0.008540988243865604,0.04053608862261937,0.021977967401874576,0.0,1.071674224296413,0.010950000000000015,0.008575,11 10 4 5
