case,wilson_sector,P_Gauss,wilson_expectation,imbalance,imbalance_se,gauss_only_acceptance,gauss_plus_wilson_acceptance
Wplus,1,1.0,1.0,0.1964,0.0046814903609854845,1.0,1.0
Wminus,-1,1.0,-1.0,0.0431,0.004791358836488872,1.0,0.0
