time,dt,trotter_steps,case,wilson_sector,exact_O_LR,trotter_O_LR,hardware_O_LR,hardware_O_LR_se,exact_sector_separation,trotter_sector_separation,hardware_sector_separation,hardware_sector_separation_se,hardware_sector_separation_z,shots,depth,r_count,cz_count,move_count,calibration_set_id,job_id
0.6,0.3,2,Wplus,1,0.45457684680307253,0.4377339233729705,-0.0547,0.006950653350585109,0.07379967779811547,0.054370587312268626,0.005400000000000002,0.009854906392249497,0.5479504101882584,5000,172,97,59,82,9a9fbebd-5f96-43de-95b0-62e8b2704eda,019fff99-c331-7740-9a2d-72fa21fc9ea3
0.6,0.3,2,Wminus,-1,0.38077716900495706,0.3833633360607019,-0.0601,0.006986243482730902,0.07379967779811547,0.054370587312268626,0.005400000000000002,0.009854906392249497,0.5479504101882584,5000,172,97,59,82,9a9fbebd-5f96-43de-95b0-62e8b2704eda,019fff99-c331-7740-9a2d-72fa21fc9ea3
0.8,0.4,2,Wplus,1,0.22782501531500213,0.18940493911752748,-0.0566,0.007099245593723322,0.20584704791312755,0.1488688504949081,0.007599999999999996,0.010000747972026892,0.7599431583775501,5000,170,96,59,80,9a9fbebd-5f96-43de-95b0-62e8b2704eda,019fff99-c331-7740-9a2d-72fa21fc9ea3
0.8,0.4,2,Wminus,-1,0.021977967401874576,0.04053608862261937,-0.0642,0.007043839294021408,0.20584704791312755,0.1488688504949081,0.007599999999999996,0.010000747972026892,0.7599431583775501,5000,170,96,59,80,9a9fbebd-5f96-43de-95b0-62e8b2704eda,019fff99-c331-7740-9a2d-72fa21fc9ea3
1.0,0.5,2,Wplus,1,0.11555889039980191,0.04689700730202473,-0.0748,0.006990063805145129,0.42660333423603647,0.29815505395556813,0.008099999999999996,0.009858829037974033,0.8215985862824666,5000,172,98,59,82,9a9fbebd-5f96-43de-95b0-62e8b2704eda,019fff99-c331-7740-9a2d-72fa21fc9ea3
1.0,0.5,2,Wminus,-1,-0.3110444438362346,-0.2512580466535434,-0.0829,0.006952374989886549,0.42660333423603647,0.29815505395556813,0.008099999999999996,0.009858829037974033,0.8215985862824666,5000,172,98,59,82,9a9fbebd-5f96-43de-95b0-62e8b2704eda,019fff99-c331-7740-9a2d-72fa21fc9ea3
