time,ideal_imbalance,raw_imbalance,gauss_only_imbalance,gauss_plus_wilson_imbalance,raw_abs_error,gauss_only_abs_error,gauss_plus_wilson_abs_error,raw_acceptance,gauss_only_acceptance,gauss_plus_wilson_acceptance,cumulative_fault_probability
0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.125,0.9691144986276954,0.9650765215500807,0.9691144986276953,0.9691144986276953,0.004037977077614663,1.1102230246251565e-16,1.1102230246251565e-16,1.0,0.9833333333333337,0.9791666666666669,0.025
0.25,0.8807506083883652,0.8775525969076071,0.8811179816898764,0.8809992564865013,0.003198011480758045,0.00036737330151126457,0.0002486480981361838,1.0,0.9833333333333337,0.9791666666666669,0.025
0.375,0.7471895630216296,0.741747211976989,0.7478481763592901,0.7476519918096413,0.0054423510446406365,0.0006586133376604852,0.00046242878801161513,1.0,0.9666666666666675,0.9583333333333337,0.05
0.5,0.5869943118523125,0.5839627315570447,0.5886443267628395,0.588186641651401,0.003031580295267844,0.0016500149105269646,0.001192329799088454,1.0,0.9666666666666675,0.9583333333333337,0.05
0.625,0.42242955280463373,0.41911180610212845,0.4245801045314276,0.42412774504832906,0.0033177467025052865,0.002150551726793848,0.001698192243695329,1.0,0.9500000000000013,0.9375000000000007,0.075
0.75,0.2763672787898939,0.2746487185748864,0.279126120565639,0.2788026370799485,0.0017185602150075474,0.002758841775745091,0.00243535829005459,1.0,0.9500000000000013,0.9375000000000007,0.075
0.875,0.16910791934845149,0.16546571451501993,0.17122666434075304,0.17170409611108423,0.003642204833431556,0.0021187449923015522,0.0025961767626327403,1.0,0.933333333333335,0.9166666666666675,0.1
1.0,0.11555889039980191,0.10799616784147778,0.11588851807603116,0.11781709138744964,0.007562722558324131,0.00032962767622925215,0.0022582009876477294,1.0,0.933333333333335,0.9166666666666675,0.1
1.125,0.12316269067580154,0.106902991542852,0.1198124662198266,0.12419870661629039,0.016259699132949543,0.003350224455974951,0.0010360159404888408,1.0,0.9166666666666687,0.8958333333333344,0.125
1.25,0.19086250784908393,0.16168432370475574,0.18175127974688976,0.18953954520260946,0.029178184144328184,0.009111228102194169,0.0013229626464744682,1.0,0.9166666666666687,0.8958333333333344,0.125
1.375,0.3092490993367036,0.2622990780032428,0.2926003391797377,0.30472316234250213,0.04695002133346077,0.01664876015696587,0.004525936994201452,1.0,0.9000000000000025,0.8750000000000012,0.15
1.5,0.46186853358631985,0.39459360617705813,0.43604919933276626,0.4530833359184003,0.06727492740926172,0.025819334253553594,0.008785197667919575,1.0,0.9000000000000025,0.8750000000000012,0.15
1.625,0.6275090357411273,0.5371973022862164,0.5919195576917965,0.6141694175405333,0.09031173345491084,0.03558947804933077,0.013339618200593928,1.0,0.8833333333333362,0.8541666666666681,0.175
1.75,0.7831491009963736,0.6727267999078456,0.738264342392171,0.7652417864110563,0.11042230108852802,0.0448847586042026,0.017907314585317247,1.0,0.8833333333333362,0.8541666666666681,0.175
1.875,0.9071571328314395,0.7776294303301836,0.854196279792787,0.8852690179244724,0.1295277025012559,0.0529608530386525,0.02188811490696707,1.0,0.86666666666667,0.833333333333335,0.2
2.0,0.9822979051779405,0.8430649255560464,0.9245797445326237,0.9580006997434952,0.13923297962189407,0.05771816064531676,0.024297205434445246,1.0,0.86666666666667,0.833333333333335,0.2
