case,wilson_sector,shots,P_Gauss,P_Gauss_se,wilson_expectation,wilson_target_probability,imbalance,imbalance_se,gauss_only_imbalance,gauss_plus_wilson_imbalance,gauss_only_acceptance,gauss_plus_wilson_acceptance
Wplus,1,5000,0.2838,0.0063758538251751035,0.3684,0.6842,0.0969,0.008101362724875365,0.14446793516560957,0.1660839160839161,0.2838,0.2288
Wminus,-1,5000,0.292,0.006430178846657377,-0.4196,0.2902,0.0533,0.008207424809280923,0.06095890410958904,-0.0070921985815602835,0.292,0.0564
