case,wilson_sector,shots,P_Gauss,P_Gauss_se,wilson_expectation,wilson_target_probability,imbalance,imbalance_se,gauss_only_imbalance,gauss_plus_wilson_imbalance,gauss_only_acceptance,gauss_plus_wilson_acceptance
Wplus,1,1000,0.36,0.015178932768808221,0.334,0.667,0.16,0.018745666165810165,0.19444444444444445,0.1950354609929078,0.36,0.282
Wminus,-1,1000,0.321,0.0147634345597493,-0.36,0.32,0.1045,0.018690365164972033,0.09968847352024922,0.2923076923076923,0.321,0.065
