sector,case,time,dt,trotter_steps,exact_imbalance,trotter_imbalance,absolute_imbalance_error,state_fidelity,trotter_min_gauss,trotter_wilson,qubit_count,depth,two_qubit_gate_count,measurement_count
1,target_W_plus,0.8,0.2,4,0.22782501531500213,0.2176227888408594,0.010202226474142734,0.9781803369842867,0.9999999999999811,0.9999999999999811,8,242,131,0
-1,wrong_W_minus,0.8,0.2,4,0.021977967401874576,0.02639142508114567,0.004413457679271093,0.9788955475575499,0.9999999999999807,-0.9999999999999807,8,242,131,0
